Conference,Division,School,Contact Name,Title,Sports,Address,City,State,Zip Code,,,,,,
A-10,NCAA I,DAVIDSON COLLEGE,Rucker Taylor,Head Coach,Men's Baseball,209 Ridge Rd.,Davidson,NC,28036-0000,,,,,,
A-10,NCAA I,"DAYTON, UNIVERSITY OF",Jayson King,Head Coach,Men's Baseball,300 College Park,Dayton,OH,45469-1230,,,,,,
A-10,NCAA I,FORDHAM UNIVERSITY,Kevin Leighton,Head Coach,Men's Baseball,441 E. Fordham Rd.,Bronx,NY,10458-9993,,,,,,
A-10,NCAA I,GEORGE MASON UNIVERSITY,Bill Brown,Head Coach,Men's Baseball,4400 University Dr. MS 3A5,Fairfax,VA,22030-0000,,,,,,
A-10,NCAA I,GEORGE WASHINGTON UNIVERSITY,Gregg Ritchie,Head Coach,Men's Baseball,Charles E. Smith Center,Washington,DC,20052-0000,,,,,,
A-10,NCAA I,LA SALLE UNIVERSITY,David Miller,Head Coach,Men's Baseball,1900 West Olney Ave.,Philadelphia,PA,19141-0000,,,,,,
A-10,NCAA I,"MASSACHUSETTS, U. OF (Amherst)",Matt Reynolds,Head Coach,Men's Baseball,Boyden Bldg.,Amherst,MA,01003-0000,,,,,,
A-10,NCAA I,"RHODE ISLAND, UNIVERSITY OF",Raphael Cerrato,Head Coach,Men's Baseball,Three Keaney Rd.,Kingston,RI,02881-0000,,,,,,
A-10,NCAA I,"RICHMOND, UNIVERSITY OF",Tracy Woodson,Head Coach,Men's Baseball,28 Westhampton Way,Richmond,VA,23173-0000,,,,,,
A-10,NCAA I,SAINT JOSEPH'S UNIVERSITY,Fritz Hamburg,Head Coach,Men's Baseball,5600 City Ave,Philadelphia,PA,19131-1395,,,,,,
A-10,NCAA I,SAINT LOUIS UNIVERSITY,Darin Hendrickson,Head Coach,Men's Baseball,3330 Laclede Avenue,St. Louis,MO,63103-0000,,,,,,
A-10,NCAA I,ST. BONAVENTURE UNIVERSITY,Larry Sudbrook,Head Coach,Men's Baseball,3261 West State Road,St. Bonaventure,NY,14778-2287,,,,,,
A-10,NCAA I,VIRGINIA COMMONWEALTH U.,Shawn Stiffler,Head Coach,Men's Baseball,1200 W. Broad St.,Richmond,VA,23284-3013,,,,,,
ACC,NCAA I,BOSTON COLLEGE,Mike Gambino,Head Coach,Men's Baseball,140 Commonwealth Ave.,Chestnut Hill,MA,02467-3800,,,,,,
ACC,NCAA I,CLEMSON UNIVERSITY,Monte Lee,Head Coach,Men's Baseball,Jervey Athletic Center,Clemson,SC,29634-0000,,,,,,
ACC,NCAA I,DUKE UNIVERSITY,Chris Pollard,Head Coach,Men's Baseball,118 Cameron Indoor Stadium,Durham,NC,27708-0000,,,,,,
ACC,NCAA I,FLORIDA STATE UNIVERSITY,Mike Martin,Head Coach,Men's Baseball,PO Box 2195,Tallahassee,FL,32316-2195,,,,,,
ACC,NCAA I,GEORGIA TECH,Danny Hall,Head Coach,Men's Baseball,"150 Bobby Dodd Way, NW",Atlanta,GA,30332-0455,,,,,,
ACC,NCAA I,"LOUISVILLE, UNIVERSITY OF",Dan McDonnell,Head Coach,Men's Baseball,2100 South Floyd St.,Louisville,KY,40292-0000,,,,,,
ACC,NCAA I,"MIAMI, UNIVERSITY OF",Jim Morris,Head Coach,Men's Baseball,5821 San Amaro Dr.,Coral Gables,FL,33146-2436,,,,,,
ACC,NCAA I,NORTH CAROLINA STATE UNIVERSITY,Elliott Avent,Head Coach,Men's Baseball,2500 Warren Carroll Dr.,Raleigh,NC,27695-0000,,,,,,
ACC,NCAA I,"NORTH CAROLINA, U. OF (Chapel Hill)",Mike Fox,Head Coach,Men's Baseball,PO Box 2126,Chapel Hill,NC,27515-2126,,,,,,
ACC,NCAA I,"NOTRE DAME, UNIVERSITY OF",Mik Aoki,Head Coach,Men's Baseball,113 Joyce Center,Notre Dame,IN,46556-0000,,,,,,
ACC,NCAA I,"PITTSBURGH, UNIVERSITY OF",Joseph Jordano,Head Coach,Men's Baseball,3719 Terrace Street,Pittsburgh,PA,15261-0000,,,,,,
ACC,NCAA I,VIRGINIA POLYTECH. INST. & STATE U. (Virginia Tech),John Szefc,Head Coach,Men's Baseball,25 Beamer Way,Blacksburg,VA,24061-0000,,,,,,
ACC,NCAA I,"VIRGINIA, UNIVERSITY OF",Brian O'Connor,Head Coach,Men's Baseball,Alderman & Massie Rd.,Charlottesville,VA,22904-4846,,,,,,
ACC,NCAA I,WAKE FOREST UNIVERSITY,Tom Walter,Head Coach,Men's Baseball,1834 Wake Forest Rd,Winston Salem,NC,27106-0000,,,,,,
Alabama CC Conf,Ind 4yr,BEVILL STATE COMMUNITY COLLEGE,Joey May,Head Coach,Men's Baseball,1411 Indiana Ave.,Jasper,AL,35501-0000,,,,,,
Alabama CC Conf,NJCAA I,BISHOP STATE COMM. COLLEGE,Mark Johnston,Head Coach,Men's Baseball,351 N Broad St.,Mobile,AL,36603-5898,,,,,,
Alabama CC Conf,NJCAA I,CALHOUN COMMUNITY COLLEGE,Mike Burns,Head Coach,Men's Baseball,6250 US Hwy 31 North,Tanner,AL,35671-0000,,,,,,
Alabama CC Conf,NJCAA I,CENTRAL ALABAMA COMMUNITY COLLEGE,Larry Thomas,Head Coach,Men's Baseball,1675 Cherokee Road,Alexander City,AL,35010-0699,,,,,,
Alabama CC Conf,NJCAA I,COASTAL ALABAMA CC-BAY MINETTE,Wayne Larker,Head Coach,Men's Baseball,(formerly Faulkner State CC),Bay Minette,AL,36507-0000,,,,,,
Alabama CC Conf,NJCAA I,COASTAL ALABAMA CC-BREWTON,Darrell Blevins,Head Coach,Men's Baseball,(formerly Jefferson Davis CC),Brewton,AL,36427-0958,,,,,,
Alabama CC Conf,NJCAA I,ENTERPRISE STATE COMMUNITY COLLEGE,Samuel Frichter,Head Coach,Men's Baseball,600 Plaza Dr,Enterprise,AL,36330-3302,,,,,,
Alabama CC Conf,NJCAA I,LAWSON STATE COMMUNITY COLLEGE,Blake Lewis,Head Coach,Men's Baseball,3060 Wilson Rd SW,Birmingham,AL,35221-1717,,,,,,
Alabama CC Conf,NJCAA I,MARION MILITARY INSTITUTE,Matt Downs,Head Coach,Men's Baseball,1101 Washington St,Marion,AL,36756-0000,,,,,,
Alabama CC Conf,NJCAA I,SHELTON STATE COMMUNITY COLLEGE,Bobby Sprowl,Head Coach,Men's Baseball,9500 Old Greensboro Rd.,Tuscaloosa,AL,35405-0000,,,,,,
Alabama CC Conf,NJCAA I,SNEAD STATE COMMUNITY COLLEGE,Gerry Ledbetter,Head Coach,Men's Baseball,102 Elder Street,Boaz,AL,35957-0000,,,,,,
Alabama CC Conf,NJCAA I,SOUTHERN UNION STATE COMMUNITY COLLEGE,Joe Jordan,Head Coach,Men's Baseball,750 Roberts St.,Wadley,AL,36276-0000,,,,,,
Alabama CC Conf,NJCAA I,WALLACE COMMUNITY COLLEGE-SELMA,Frank Elliot,Head Coach,Men's Baseball,3000 Earl Goodwin Pkwy.,Selma,AL,36703-0000,,,,,,
Alabama CC Conf,NJCAA I,WALLACE STATE COMMUNITY COLLEGE-HANCEVILLE,Randy Putman,Head Coach,Men's Baseball,801 Main Street NW,Hanceville,AL,35077-0000,,,,,,
Allegheny Mountain,NCAA III,D'YOUVILLE COLLEGE,Leo Dandes,Head Coach,Men's Baseball,Department of Athletics,Buffalo,NY,14201-1084,,,,,,
Allegheny Mountain,NCAA III,HILBERT COLLEGE,Drew Fittry,Head Coach,Men's Baseball,5200 S. Park Ave.,Hamburg,NY,14075-1519,,,,,,
Allegheny Mountain,NCAA III,LA ROCHE COLLEGE,Chase Rowe,Head Coach,Men's Baseball,9000 Babcock Blvd,Pittsburgh,PA,15237-5808,,,,,,
Allegheny Mountain,NCAA III,MOUNT ALOYSIUS COLLEGE,Kevin Kime,Head Coach,Men's Baseball,101 Mountie Way,Cresson,PA,16630-1999,,,,,,
Allegheny Mountain,NCAA III,PENN STATE ALTOONA,RJ Barnard,Head Coach,Men's Baseball,3000 Ivyside Park,Altoona,PA,16601-0000,,,,,,
Allegheny Mountain,NCAA III,PENN STATE BEHREND COLLEGE,Paul Benim,Head Coach,Men's Baseball,5103 Station Rd,Erie,PA,16563-0400,,,,,,
Allegheny Mountain,NCAA III,"PITTSBURGH, U. OF (Bradford)",Zachary Foster,Head Coach,Men's Baseball,300 Campus Dr.,Bradford,PA,16701-0000,,,,,,
Allegheny Mountain,NCAA III,"PITTSBURGH, UNIVERSITY OF (Greensburg)",Scott Adams,Head Coach,Men's Baseball,150 Finoli Dr.,Greensburg,PA,15601-5860,,,,,,
America East,NCAA I,"ALBANY, UNIVERSITY AT",Jon Mueller,Head Coach,Men's Baseball,SEFCU Arena 212,Albany,NY,12222-0000,,,,,,
America East,NCAA I,BINGHAMTON UNIVERSITY,Tim Sinicki,Head Coach,Men's Baseball,4400 Vestal Parkway East,Binghamton,NY,13902-6000,,,,,,
America East,NCAA I,"HARTFORD, UNIVERSITY OF",Justin Blood,Head Coach,Men's Baseball,200 Bloomfield Ave.,West Hartford,CT,06117-1545,,,,,,
America East,NCAA I,"MAINE, UNIVERSITY OF",Nick Derba,Head Coach,Men's Baseball,5747 Memorial Gym,Orono,ME,04469-5747,,,,,,
America East,NCAA I,"MARYLAND, U. OF (Baltimore County)",Bob Mumma,Head Coach,Men's Baseball,1000 Hilltop Cir,Baltimore,MD,21250-0000,,,,,,
America East,NCAA I,"MASSACHUSETTS LOWELL, U. OF",Ken Harring,Head Coach,Men's Baseball,Costello Gymnasium,Lowell,MA,01854-2827,,,,,,
America East,NCAA I,STONY BROOK UNIVERSITY,Matt Senk,Head Coach,Men's Baseball,SBU Indoor Sports Complex,Stony Brook,NY,11794-3500,,,,,,
American,NCAA I,"CENTRAL FLORIDA, UNIV. OF",Greg Lovelady,Head Coach,Men's Baseball,4000 Central Florida Blvd,Orlando,FL,32816-3555,,,,,,
American,NCAA I,"CINCINNATI, UNIVERSITY OF",Scott Googins,Head Coach,Men's Baseball,2751 O'Varsity Way,Cincinnati,OH,45221-0000,,,,,,
