id,Title,Sports,school
34386,"Rucker Taylor","Men>Men's Baseball",34385
34388,"Jayson King","Men>Men's Baseball",34387
34390,"Kevin Leighton","Men>Men's Baseball",34389
34391,"Bob McKillop","Men>Men's Basketball",34385
34392,"Anthony Grant","Men>Men's Basketball",34387
34394,"Keith Dambrot","Men>Men's Basketball",34393
34395,"Jeff Neubauer","Men>Men's Basketball",34389
34397,"Dave Paulsen","Men>Men's Basketball|Men>Men's Cross Country|Men>Men's Track &amp; Field|Women>Women's Cross Country|Women>Women's Track &amp; Field",38749
34399,"Maurice Joseph","Men>Men's Basketball",34398
34400,"Gayle Coats Fulks","Women>Women's Basketball",34385
34401,"Shauna Green","Women>Women's Basketball",34387
34402,"Dan Burt","Women>Women's Basketball",34393
34403,"Stephanie Gaitley","Women>Women's Basketball",34389
34404,"Bill Brown","Men>Men's Baseball",34396
34405,"Gregg Ritchie","Men>Men's Baseball",34398
34407,"David Miller","Men>Men's Baseball|Women>Women's Softball",34625
34409,"Matt Reynolds","Men>Men's Baseball",34408
34411,"Raphael Cerrato","Men>Men's Baseball",34410
34413,"Tracy Woodson","Men>Men's Baseball",34412
34415,"Fritz Hamburg","Men>Men's Baseball",34414
34417,"Darin Hendrickson","Men>Men's Baseball",34416
34419,"Larry Sudbrook","Men>Men's Baseball",34418
34421,"Shawn Stiffler","Men>Men's Baseball",34420
34423,"Mike Gambino","Men>Men's Baseball",34422
34425,"Monte Lee","Men>Men's Baseball",34424
34427,"Chris Pollard","Men>Men's Baseball",34426
34429,"Mike Martin","Men>Men's Baseball|Men>Men's Basketball",35612
34431,"Danny Hall","Men>Men's Baseball",34430
34433,"Dan McDonnell","Men>Men's Baseball",34432
34435,"Jim Morris","Men>Men's Baseball",34434
34437,"Elliott Avent","Men>Men's Baseball",34436
34439,"Mike Fox","Men>Men's Baseball",34438
34441,"Mik Aoki","Men>Men's Baseball",34440
34443,"Joseph Jordano","Men>Men's Baseball",34442
34445,"John Szefc","Men>Men's Baseball",34444
34447,"Brian O'Connor","Men>Men's Baseball",34446
34449,"Tom Walter","Men>Men's Baseball",34448
34451,"Joey May","Men>Men's Baseball",34450
34453,"Mark Johnston","Men>Men's Baseball",34452
34455,"Mike Burns","Men>Men's Baseball",34454
34457,"Larry Thomas","Men>Men's Baseball",34456
34459,"Wayne Larker","Men>Men's Baseball",34458
34461,"Darrell Blevins","Men>Men's Baseball",34460
34463,"Samuel Frichter","Men>Men's Baseball",34462
34465,"Blake Lewis","Men>Men's Baseball",34464
34467,"Matt Downs","Men>Men's Baseball",37049
34469,"Bobby Sprowl","Men>Men's Baseball",34468
34471,"Gerry Ledbetter","Men>Men's Baseball",34470
34473,"Joe Jordan","Men>Men's Baseball",34472
34475,"Frank Elliot","Men>Men's Baseball",34474
34477,"Randy Putman","Men>Men's Baseball",34476
34479,"Leo Dandes","Men>Men's Baseball",34478
34481,"Drew Fittry","Men>Men's Baseball",34480
34483,"Chase Rowe","Men>Men's Baseball",34482
34485,"Kevin Kime","Men>Men's Baseball",34484
34487,"RJ Barnard","Men>Men's Baseball",34486
34489,"Paul Benim","Men>Men's Baseball",34488
34491,"Zachary Foster","Men>Men's Baseball",34490
34493,"Scott Adams","Men>Men's Baseball",34492
34495,"Jon Mueller","Men>Men's Baseball",34494
34497,"Tim Sinicki","Men>Men's Baseball",34496
34499,"Justin Blood","Men>Men's Baseball",34498
34501,"Nick Derba","Men>Men's Baseball",34500
34503,"Bob Mumma","Men>Men's Baseball",34502
34505,"Ken Harring","Men>Men's Baseball",34504
34507,"Matt Senk","Men>Men's Baseball",34506
34509,"Greg Lovelady","Men>Men's Baseball",34508
34511,"Scott Googins","Men>Men's Baseball",34510
34513,"Jim Penders","Men>Men's Baseball",34512
34515,"Cliff Godwin","Men>Men's Baseball",34514
34517,"Todd Whitting","Men>Men's Baseball",34516
34519,"Daron Schoenrock","Men>Men's Baseball",34518
34521,"Billy Mohl","Men>Men's Baseball",34520
34523,"Travis Jewett","Men>Men's Baseball",34522
34525,"Todd Butler","Men>Men's Baseball",34524
34527,"Aaron Brister","Men>Men's Baseball",34526
34529,"Darren Munns","Men>Men's Baseball",34528
34531,"Jonathan Estes","Men>Men's Baseball",34530
34533,"Ben Strother","Men>Men's Baseball",34532
34535,"C.J. Bilbrey","Men>Men's Baseball",34534
34537,"Logan Johnson","Men>Men's Baseball",34536
34539,"Tony Roepcke","Men>Men's Baseball",34538
34541,"Cary Lundy","Men>Men's Baseball",34540
34543,"Brock Nehls","Men>Men's Baseball",34542
34545,"Stephen Abanathy","Men>Men's Baseball",34544
34547,"Hill Denson","Men>Men's Baseball",34546
34549,"Tommy Boggs","Men>Men's Baseball",34548
34551,"Jared Hood","Men>Men's Baseball",34550
34553,"Steve Coleman","Men>Men's Baseball",34552
34555,"Stephen Lynn","Men>Men's Baseball",34554
34557,"Robin Harriss","Men>Men's Baseball",34556
34559,"Mike Byrnes","Men>Men's Baseball",34558
