id,Title,Content
34385,"Davidson College",
34387,"Dayton, University Of",
34389,"Fordham University",
34393,"Duquesne University",
34396,"George Mason University",
34398,"George Washington University",
34406,"La Salle University",
34408,"Massachusetts, U. Of (amherst)",
34410,"Rhode Island, University Of",
34412,"Richmond, University Of",
34414,"Saint Joseph's University",
34416,"Saint Louis University",
34418,"St. Bonaventure University",
34420,"Virginia Commonwealth U.",
34422,"Boston College",
34424,"Clemson University",
34426,"Duke University",
34428,"Florida State University",
34430,"Georgia Tech",
34432,"Louisville, University Of",
34434,"Miami, University Of",
34436,"North Carolina State University",
34438,"North Carolina, U. Of (chapel Hill)",
34440,"Notre Dame, University Of",
34442,"Pittsburgh, University Of",
34444,"Virginia Polytech. Inst. & State U. (virginia Tech)",
34446,"Virginia, University Of",
34448,"Wake Forest University",
34450,"Bevill State Community College",
34452,"Bishop State Comm. College",
34454,"Calhoun Community College",
34456,"Central Alabama Community College",
34458,"Coastal Alabama Cc-bay Minette",
34460,"Coastal Alabama Cc-brewton",
34462,"Enterprise State Community College",
34464,"Lawson State Community College",
34466,"Marion Military Institute",
34468,"Shelton State Community College",
34470,"Snead State Community College",
34472,"Southern Union State Community College",
34474,"Wallace Community College-selma",
34476,"Wallace State Community College-hanceville",
34478,"D'youville College",
34480,"Hilbert College",
34482,"La Roche College",
34484,"Mount Aloysius College",
34486,"Penn State Altoona",
34488,"Penn State Behrend College",
34490,"Pittsburgh, U. Of (bradford)",
34492,"Pittsburgh, University Of (greensburg)",
34494,"Albany, University At",
34496,"Binghamton University",
34498,"Hartford, University Of",
34500,"Maine, University Of",
34502,"Maryland, U. Of (baltimore County)",
34504,"Massachusetts Lowell, U. Of",
34506,"Stony Brook University",
34508,"Central Florida, Univ. Of",
34510,"Cincinnati, University Of",
34512,"Connecticut, University Of",
34514,"East Carolina University",
34516,"Houston, University Of",
34518,"Memphis, University Of",
34520,"South Florida, Univ. Of",
34522,"Tulane University",
34524,"Wichita State University",
34526,"Central Baptist College",
34528,"Columbia College (mo)",
34530,"Freed-hardeman Univ.",
34532,"Hannibal-lagrange University",
34534,"Harris-stowe State University",
34536,"Lindenwood University-belleville",
34538,"Lyon College",
34540,"Park University",
34542,"William Woods University",
34544,"Williams Baptist College",
34546,"Belhaven University",
34548,"Concordia University Texas",
34550,"East Texas Baptist Univ.",
34552,"Hardin-simmons University",
34554,"Howard Payne University",
34556,"Le Tourneau University",
34558,"Louisiana College",
34560,"Mary Hardin-baylor, U. Of",
34562,"Mcmurry University",
34564,"Ozarks, Univ. Of The",
34566,"Texas At Tyler, University Of",
34568,"Texas, U. Of (dallas)",
34571,"Milligan College",
34573,"Point University",
34575,"Reinhardt University",
34577,"St. Andrews University",
34579,"Tennessee Wesleyan College",
34581,"Truett Mcconnell College",
34583,"Union College (ky)",
34585,"Arizona Western College",
34587,"Central Arizona College",
34589,"Chandler-gilbert Community College",
34591,"Cochise College",
34593,"Glendale Community College",
34595,"Mesa Community College",
34597,"Paradise Valley Community College",
34599,"Phoenix College",
34601,"Pima Community College",
34603,"Scottsdale Community College",
34605,"South Mountain Community College",
34607,"Yavapai College",
34609,"Black Hawk College",
34611,"Carl Sandburg College",
34613,"Highland Community College",
34615,"Illinois Valley Community College",
34617,"Kishwaukee College",
34619,"Sauk Valley Community College",
34621,"Fisher College",
34623,"Georgia Gwinnett College",
34625,"Kentucky Christian University",
34627,"Lincoln Christian University",
34629,"Ozarks, College Of The",
34631,"Rust College",
34633,"Saint Joseph In Vermont, Coll. Of",
34635,"Stillman College",
34637,"Voorhees College",
34639,"Maranatha Baptist University",
34641,"New Rochelle, The College Of",
34643,"Florida Gulf Coast University",
34645,"Jacksonville University",
34647,"Kennesaw State University",
34649,"Lipscomb University",
34651,"New Jersey Institute Of Technology",
34653,"North Florida, Univ. Of",
34655,"South Carolina Upstate, U. Of",
34657,"Stetson University",
34659,"Contra Costa College",
34661,"Folsom Lake College",
34663,"Laney College",
34665,"Los Medanos College",
34667,"Marin, College Of",
34669,"Napa Valley College",
34671,"Solano Community College",
34673,"Yuba College",
34675,"Baylor University",
34677,"Kansas State University",
34679,"Kansas, University Of",
34681,"Oklahoma State University",
34683,"Oklahoma, University Of",
34685,"Texas Christian University",
34687,"Texas Tech University",
34689,"Texas, U. Of (austin)",
34691,"West Virginia University",
34693,"American River College",
34695,"Cosumnes River College",
34697,"Diablo Valley College",
34699,"Modesto Junior College",
34701,"Sacramento City College",
34703,"San Joaquin Delta College",
34705,"Santa Rosa Junior College",
34707,"Sierra College",
34709,"Butler University",
34711,"Creighton University",
34713,"Georgetown University",
34715,"Seton Hall University",
34717,"St. John's University",
34719,"Villanova University",
34721,"Xavier University",
34723,"Campbell University",
34725,"Charleston Southern University",
34727,"Gardner-webb University",
34729,"High Point University",
34731,"Liberty University",
34733,"Longwood University",
34735,"North Carolina, U. Of (asheville)",
34737,"Presbyterian College",
34739,"Radford University",
34741,"Winthrop University",
34743,"Illinois, University Of",
34745,"Indiana University",
34747,"Iowa, University Of",
34749,"Maryland, U. Of (college Park)",
34751,"Michigan State University",
34753,"Michigan, University Of",
34755,"Minnesota, University Of",
34757,"Nebraska, U. Of (lincoln)",
34759,"Northwestern University",
34761,"Ohio State University",
34763,"Penn State University",
34765,"Purdue University",
34767,"Rutgers, The State U. Of New Jersey",
34769,"Cal State Fullerton",
34771,"California Polytechnic State University",
34773,"California State University, Northridge",
34775,"California, U. Of (irvine)",
34777,"California, U. Of (riverside)",
34779,"California, U. Of (santa Barbara)",
34781,"California, University Of (davis)",
34783,"Hawaii, University Of",
34785,"Long Beach State University",
34787,"Cal State Dominguez Hills",
34789,"Cal State East Bay",
34791,"Cal State Monterey Bay",
34793,"Cal State San Bernardino",
34795,"Cal State San Marcos",
34797,"California State Polytechnic U., Pomona",
34799,"California State University Los Angeles",
34801,"California, University Of (san Diego)",
34803,"Chico State University",
34805,"San Francisco State U.",
34807,"Sonoma State University",
34809,"Stanislaus State",
34811,"Benedictine University At Mesa",
34813,"La Sierra University",
34815,"Marymount California Univ.",
34817,"Providence Christian College",
34819,"Simpson University",
34821,"Christopher Newport University",
34823,"Frostburg State University",
34825,"Mary Washington, U. Of",
34827,"Marymount University",
34829,"Penn State Harrisburg",
34831,"Saint Mary's College Of Maryland",
34833,"Salisbury University",
34835,"Southern Virginia University",
34837,"Wesley College",
34839,"York College",
34841,"British Columbia, U. Of",
34843,"Corban University",
34845,"Idaho, College Of",
34847,"Oregon Institute Of Technology",
34849,"Augustana College",
34851,"Carroll University",
34853,"Carthage College",
34855,"Elmhurst College",
34857,"Illinois Wesleyan University",
34859,"Millikin University",
34861,"North Central College",
34863,"North Park University",
34865,"Wheaton College (il)",
34867,"Dickinson College",
34869,"Franklin & Marshall College",
34871,"Gettysburg College",
34873,"Haverford College",
34875,"Johns Hopkins University",
34877,"Mcdaniel College",
34879,"Muhlenberg College",
34881,"Swarthmore College",
34883,"Ursinus College",
34885,"Washington College",
34887,"Bloomfield College",
34889,"Caldwell University",
34891,"Chestnut Hill College",
34893,"Concordia College (ny)",
34895,"Dominican College",
34897,"Felician University",
34899,"Goldey-beacom College",
34901,"Nyack College",
34903,"Post University",
34905,"Sciences, University Of The",
34907,"Thomas Jefferson University",
34909,"Chowan University",
34911,"Lincoln University",
34913,"Saint Augustine's University",
34915,"Virginia State University",
34917,"Winston-salem State University",
34919,"Cerro Coso Community College",
34921,"Fresno City College",
34923,"Merced College",
34925,"Porterville College",
34927,"Reedley College",
34929,"Sequoias, College Of The",
34931,"Taft College",
34933,"West Hills College",
34935,"Calumet College Of St. Joseph",
34937,"Indiana University (south Bend)",
34939,"Olivet Nazarene University",
34941,"Robert Morris University",
34943,"Roosevelt University",
34945,"Saint Xavier University",
34947,"St. Francis, University Of",
34949,"Trinity Christian College",
34951,"Trinity International University",
34953,"Cabrillo College",
34955,"Canada College",
34957,"Chabot College",
34959,"De Anza College",
34961,"Gavilan College",
34963,"Hartnell College",
34965,"Mission College",
34967,"Monterey Peninsula College",
34969,"Ohlone College",
34971,"San Francisco, City Coll. Of",
34973,"San Mateo, College Of",
34975,"Skyline College",
34977,"West Valley College",
34979,"Charleston, College Of",
34981,"Delaware, University Of",
34983,"Elon University",
34985,"Hofstra University",
34987,"James Madison University",
34989,"North Carolina, U. Of (wilmington)",
34991,"Northeastern University",
34993,"Towson University",
34995,"William & Mary, College Of",
34997,"Cabrini College",
34999,"Cairn University",
35001,"Centenary University",
35003,"Clarks Summit University",
35005,"Gwynedd Mercy College",
35007,"Immaculata University",
35009,"Keystone College",
35011,"Marywood University",
35013,"Neumann University",
35015,"Curry College",
35017,"Eastern Nazarene College",
35019,"Endicott College",
