ID,Title,address
34385,"Davidson College","209 Ridge Rd."
34387,"Dayton, University Of","300 College Park"
34389,"Fordham University","441 E. Fordham Rd."
34393,"Duquesne University","600 Forbes Avenue"
34396,"George Mason University","4400 University Dr. MS 3A5"
34398,"George Washington University","Charles E. Smith Center"
34406,"La Salle University","1900 West Olney Ave."
34408,"Massachusetts, U. Of (amherst)","Boyden Bldg."
34410,"Rhode Island, University Of","Three Keaney Rd."
34412,"Richmond, University Of","28 Westhampton Way"
34414,"Saint Joseph's University","5600 City Ave"
34416,"Saint Louis University","3330 Laclede Avenue"
34418,"St. Bonaventure University","3261 West State Road"
34420,"Virginia Commonwealth U.","1200 W. Broad St."
34422,"Boston College","140 Commonwealth Ave."
34424,"Clemson University","Jervey Athletic Center"
34426,"Duke University","118 Cameron Indoor Stadium"
34428,"Florida State University","PO Box 2195"
34430,"Georgia Tech","150 Bobby Dodd Way, NW"
34432,"Louisville, University Of","2100 South Floyd St."
34434,"Miami, University Of","5821 San Amaro Dr."
34436,"North Carolina State University","2500 Warren Carroll Dr."
34438,"North Carolina, U. Of (chapel Hill)","PO Box 2126"
34440,"Notre Dame, University Of","113 Joyce Center"
34442,"Pittsburgh, University Of","3719 Terrace Street"
34444,"Virginia Polytech. Inst. & State U. (virginia Tech)","25 Beamer Way"
34446,"Virginia, University Of","Alderman & Massie Rd."
34448,"Wake Forest University","1834 Wake Forest Rd"
34450,"Bevill State Community College","1411 Indiana Ave."
34452,"Bishop State Comm. College","351 N Broad St."
34454,"Calhoun Community College","6250 US Hwy 31 North"
34456,"Central Alabama Community College","1675 Cherokee Road"
34458,"Coastal Alabama Cc-bay Minette","(formerly Faulkner State CC)"
34460,"Coastal Alabama Cc-brewton","(formerly Jefferson Davis CC)"
34462,"Enterprise State Community College","600 Plaza Dr"
34464,"Lawson State Community College","3060 Wilson Rd SW"
34466,"Marion Military Institute","1101 Washington St"
34468,"Shelton State Community College","9500 Old Greensboro Rd."
34470,"Snead State Community College","102 Elder Street"
34472,"Southern Union State Community College","750 Roberts St."
34474,"Wallace Community College-selma","3000 Earl Goodwin Pkwy."
34476,"Wallace State Community College-hanceville","801 Main Street NW"
34478,"D'youville College","Department of Athletics"
34480,"Hilbert College","5200 S. Park Ave."
34482,"La Roche College","9000 Babcock Blvd"
34484,"Mount Aloysius College","101 Mountie Way"
34486,"Penn State Altoona","3000 Ivyside Park"
