id,Title,_school_details_address,_school_sports,Sports
34385,"Davidson College",,,"Men>Men's Baseball|Men>Men's Basketball|Men>Men's Cross Country|Men>Men's Football|Men>Men's Golf|Men>Men's Soccer|Men>Men's Swimming &amp; Diving|Men>Men's Tennis|Men>Men's Track &amp; Field|Men>Men's Wrestling|Women>Women's Basketball|Women>Women's Cheerleading|Women>Women's Cross Country|Women>Women's Field Hockey|Women>Women's Lacrosse|Women>Women's Soccer|Women>Women's Swimming &amp; Diving|Women>Women's Tennis|Women>Women's Track &amp; Field|Women>Women's Volleyball"
34387,"Dayton, University Of",,,"Men>Men's Baseball|Men>Men's Basketball|Men>Men's Cross Country|Men>Men's Football|Men>Men's Golf|Men>Men's Soccer|Men>Men's Tennis|Women>Women's Basketball|Women>Women's Cheerleading|Women>Women's Crew/Rowing|Women>Women's Cross Country|Women>Women's Golf|Women>Women's Soccer|Women>Women's Softball|Women>Women's Tennis|Women>Women's Track &amp; Field|Women>Women's Volleyball"
34389,"Fordham University",,,"Men>Men's Baseball|Men>Men's Basketball|Men>Men's Cross Country|Men>Men's Football|Men>Men's Golf|Men>Men's Soccer|Men>Men's Squash|Men>Men's Swimming &amp; Diving|Men>Men's Tennis|Men>Men's Track &amp; Field|Men>Men's Water Polo|Women>Women's Basketball|Women>Women's Cheerleading|Women>Women's Crew/Rowing|Women>Women's Cross Country|Women>Women's Soccer|Women>Women's Softball|Women>Women's Swimming &amp; Diving|Women>Women's Track &amp; Field|Women>Women's Volleyball"
34393,"Duquesne University",,,"Men>Men's Basketball|Men>Men's Cross Country|Men>Men's Football|Men>Men's Soccer|Men>Men's Track &amp; Field|Women>Women's Basketball|Women>Women's Bowling|Women>Women's Cheerleading|Women>Women's Crew/Rowing|Women>Women's Cross Country|Women>Women's Lacrosse|Women>Women's Soccer|Women>Women's Swimming &amp; Diving|Women>Women's Track &amp; Field|Women>Women's Volleyball"
34396,"George Mason University",,,"Men>Men's Baseball|Men>Men's Basketball|Men>Men's Golf|Men>Men's Soccer|Men>Men's Swimming &amp; Diving|Men>Men's Tennis|Men>Men's Volleyball|Men>Men's Wrestling|Women>Women's Basketball|Women>Women's Cheerleading|Women>Women's Crew/Rowing|Women>Women's Lacrosse|Women>Women's Soccer|Women>Women's Softball|Women>Women's Swimming &amp; Diving|Women>Women's Tennis|Women>Women's Volleyball"
34398,"George Washington University",,,"Men>Men's Baseball|Men>Men's Basketball|Men>Men's Crew/Rowing|Men>Men's Cross Country|Men>Men's Golf|Men>Men's Soccer|Men>Men's Squash|Men>Men's Swimming &amp; Diving|Men>Men's Tennis|Men>Men's Track &amp; Field|Men>Men's Water Polo|Women>Women's Basketball|Women>Women's Crew/Rowing|Women>Women's Cross Country|Women>Women's Gymnastics|Women>Women's Lacrosse|Women>Women's Soccer|Women>Women's Softball|Women>Women's Sqaush|Women>Women's Swimming &amp; Diving|Women>Women's Tennis|Women>Women's Track &amp; Field|Women>Women's Volleyball|Women>Women's Water Polo"
34406,"La Salle University",,,"Men>Men's Baseball|Men>Men's Basketball|Men>Men's Crew/Rowing|Men>Men's Cross Country|Men>Men's Soccer|Men>Men's Swimming &amp; Diving|Men>Men's Tennis|Men>Men's Track &amp; Field|Men>Men's Water Polo|Women>Women's Basketball|Women>Women's Crew/Rowing|Women>Women's Cross Country|Women>Women's Field Hockey|Women>Women's Lacrosse|Women>Women's Soccer|Women>Women's Softball|Women>Women's Swimming &amp; Diving|Women>Women's Tennis|Women>Women's Track &amp; Field|Women>Women's Volleyball|Women>Women's Water Polo"
34408,"Massachusetts, U. Of (amherst)",,,"Men>Men's Baseball|Men>Men's Basketball|Men>Men's Cross Country|Men>Men's Football|Men>Men's Ice Hockey|Men>Men's Lacrosse|Men>Men's Soccer|Men>Men's Swimming &amp; Diving|Men>Men's Track &amp; Field|Women>Women's Basketball|Women>Women's Cheerleading|Women>Women's Crew/Rowing|Women>Women's Cross Country|Women>Women's Field Hockey|Women>Women's Lacrosse|Women>Women's Soccer|Women>Women's Softball|Women>Women's Swimming &amp; Diving|Women>Women's Tennis|Women>Women's Track &amp; Field"
34410,"Rhode Island, University Of",,,"Men>Men's Baseball|Men>Men's Basketball|Men>Men's Cross Country|Men>Men's Football|Men>Men's Golf|Men>Men's Soccer|Men>Men's Track &amp; Field|Women>Women's Basketball|Women>Women's Cheerleading|Women>Women's Crew/Rowing|Women>Women's Cross Country|Women>Women's Soccer|Women>Women's Softball|Women>Women's Swimming &amp; Diving|Women>Women's Tennis|Women>Women's Track &amp; Field|Women>Women's Volleyball"
34412,"Richmond, University Of",,,"Men>Men's Baseball|Men>Men's Basketball|Men>Men's Cross Country|Men>Men's Football|Men>Men's Golf|Men>Men's Lacrosse|Men>Men's Tennis|Women>Women's Basketball|Women>Women's Cross Country|Women>Women's Field Hockey|Women>Women's Golf|Women>Women's Lacrosse|Women>Women's Soccer|Women>Women's Swimming &amp; Diving|Women>Women's Tennis|Women>Women's Track &amp; Field"
